sales_order_number,customer_account,customer_name,order_type,channel,status,do_not_process,site,warehouse,invoice_date
SO-10270,C-1005,Palm Grove,Rush,Retail Store,Open,No,DXB-01,WH-A,2026-05-07
SO-10271,C-1006,Nile Nursery,Standard,Wholesale,Open,No,AUH-02,WH-A,2026-08-19
SO-10272,C-1005,Palm Grove,Standard,Retail Store,Open,No,AUH-02,WH-B,2026-08-09
SO-10273,C-1002,Oasis Wholesale,Standard,Online,Open,No,AUH-02,WH-A,2026-05-08
SO-10274,C-1005,Palm Grove,Standard,Wholesale,Open,No,AUH-02,WH-B,2026-05-23
SO-10275,C-1002,Oasis Wholesale,Standard,Online,Open,Yes,AUH-02,WH-A,2026-04-29
SO-10276,C-1005,Palm Grove,Rush,Online,Open,No,AUH-02,WH-B,2026-06-28
SO-10277,C-1006,Nile Nursery,Rush,Retail Store,Open,No,AUH-02,WH-A,2026-06-15
SO-10278,C-1002,Oasis Wholesale,Standard,Wholesale,Open,No,AUH-02,WH-B,2026-08-03
SO-10279,C-1008,Sand & Stone,Standard,Online,Open,No,DXB-01,WH-B,2026-08-19
SO-10280,C-1003,Bloom Online,Rush,Retail Store,Open,No,AUH-02,WH-A,2026-08-10
SO-10281,C-1002,Oasis Wholesale,Rush,Retail Store,Open,No,AUH-02,WH-B,2026-06-01
SO-10282,C-1002,Oasis Wholesale,Rush,Retail Store,Open,No,DXB-01,WH-B,2026-05-17
SO-10283,C-1001,Greenfield Retail,Rush,Retail Store,Open,No,AUH-02,WH-B,2026-07-15
SO-10284,C-1001,Greenfield Retail,Standard,Wholesale,Open,No,AUH-02,WH-B,2026-07-26
SO-10285,C-1004,Desert Gardens,Rush,Retail Store,Open,No,AUH-02,WH-B,2026-08-16
SO-10286,C-1007,Cedar Home,Standard,Wholesale,Open,No,AUH-02,WH-B,2026-06-24
SO-10287,C-1003,Bloom Online,Standard,Wholesale,Open,No,DXB-01,WH-A,2026-07-02
SO-10288,C-1006,Nile Nursery,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-06-26
SO-10289,C-1008,Sand & Stone,Rush,Retail Store,Open,No,AUH-02,WH-B,2026-06-15
SO-10290,C-1004,Desert Gardens,Rush,Retail Store,Open,No,DXB-01,WH-A,2026-08-16
SO-10291,C-1001,Greenfield Retail,Rush,Retail Store,Open,No,AUH-02,WH-B,2026-05-21
SO-10292,C-1005,Palm Grove,Rush,Wholesale,Cancelled,No,AUH-02,WH-A,2026-05-26
SO-10293,C-1005,Palm Grove,Standard,Online,Open,No,AUH-02,WH-A,2026-06-03
SO-10294,C-1001,Greenfield Retail,Rush,Wholesale,Open,No,AUH-02,WH-B,2026-06-08
SO-10295,C-1004,Desert Gardens,Rush,Online,Open,No,DXB-01,WH-B,2026-07-28
SO-10296,C-1003,Bloom Online,Standard,Wholesale,Open,No,AUH-02,WH-A,2026-05-15
SO-10297,C-1002,Oasis Wholesale,Standard,Online,Open,No,DXB-01,WH-A,2026-06-05
SO-10298,C-1003,Bloom Online,Rush,Retail Store,Open,No,AUH-02,WH-B,2026-05-05
SO-10299,C-1008,Sand & Stone,Standard,Online,Open,No,DXB-01,WH-B,2026-05-22
SO-10300,C-1008,Sand & Stone,Rush,Retail Store,Open,No,DXB-01,WH-B,2026-08-04
SO-10301,C-1006,Nile Nursery,Standard,Retail Store,Cancelled,No,AUH-02,WH-A,2026-07-06
SO-10302,C-1005,Palm Grove,Rush,Retail Store,Open,No,DXB-01,WH-A,2026-06-17
SO-10303,C-1006,Nile Nursery,Standard,Retail Store,Cancelled,No,DXB-01,WH-B,2026-08-22
SO-10304,C-1007,Cedar Home,Standard,Wholesale,Open,No,AUH-02,WH-A,2026-06-14
SO-10305,C-1002,Oasis Wholesale,Standard,Wholesale,Open,No,AUH-02,WH-B,2026-06-24
SO-10306,C-1003,Bloom Online,Standard,Online,Open,No,DXB-01,WH-A,2026-07-04
SO-10307,C-1004,Desert Gardens,Rush,Online,Open,No,AUH-02,WH-B,2026-08-13
SO-10308,C-1001,Greenfield Retail,Rush,Wholesale,Open,No,DXB-01,WH-A,2026-05-29
SO-10309,C-1005,Palm Grove,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-05-08
SO-10310,C-1005,Palm Grove,Standard,Online,Open,No,AUH-02,WH-B,2026-08-18
SO-10311,C-1006,Nile Nursery,Standard,Online,Open,No,AUH-02,WH-B,2026-07-22
SO-10312,C-1005,Palm Grove,Standard,Online,Open,No,AUH-02,WH-B,2026-06-19
SO-10313,C-1003,Bloom Online,Rush,Retail Store,Open,No,AUH-02,WH-B,2026-07-30
SO-10314,C-1003,Bloom Online,Rush,Online,Open,No,AUH-02,WH-A,2026-07-16
SO-10315,C-1001,Greenfield Retail,Standard,Wholesale,Open,No,DXB-01,WH-B,2026-07-21
SO-10316,C-1003,Bloom Online,Standard,Wholesale,Open,No,DXB-01,WH-A,2026-07-24
SO-10317,C-1005,Palm Grove,Standard,Retail Store,Open,No,DXB-01,WH-B,2026-05-29
SO-10318,C-1008,Sand & Stone,Rush,Retail Store,Open,No,AUH-02,WH-B,2026-08-09
SO-10319,C-1002,Oasis Wholesale,Rush,Wholesale,Open,No,AUH-02,WH-A,2026-07-08
SO-10320,C-1008,Sand & Stone,Standard,Wholesale,Open,Yes,AUH-02,WH-B,2026-06-10
SO-10321,C-1006,Nile Nursery,Rush,Wholesale,Open,No,DXB-01,WH-A,2026-08-13
SO-10322,C-1004,Desert Gardens,Standard,Retail Store,Open,No,DXB-01,WH-B,2026-05-31
SO-10323,C-1003,Bloom Online,Rush,Online,Open,No,DXB-01,WH-A,2026-06-26
SO-10324,C-1002,Oasis Wholesale,Standard,Online,Open,No,AUH-02,WH-B,2026-08-11
SO-10325,C-1003,Bloom Online,Standard,Online,Open,No,AUH-02,WH-B,2026-08-10
SO-10326,C-1006,Nile Nursery,Rush,Wholesale,Open,No,DXB-01,WH-A,2026-07-29
SO-10327,C-1005,Palm Grove,Standard,Online,Cancelled,No,DXB-01,WH-A,2026-08-02
SO-10328,C-1005,Palm Grove,Rush,Wholesale,Open,No,AUH-02,WH-A,2026-06-02
SO-10329,C-1002,Oasis Wholesale,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-08-11
SO-10330,C-1005,Palm Grove,Rush,Retail Store,Open,No,AUH-02,WH-A,2026-05-05
SO-10331,C-1003,Bloom Online,Rush,Retail Store,Cancelled,No,DXB-01,WH-B,2026-07-25
SO-10332,C-1003,Bloom Online,Rush,Retail Store,Open,No,DXB-01,WH-B,2026-06-10
SO-10333,C-1002,Oasis Wholesale,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-05-27
SO-10334,C-1006,Nile Nursery,Rush,Online,Open,No,AUH-02,WH-B,2026-08-20
SO-10335,C-1004,Desert Gardens,Standard,Retail Store,Open,No,AUH-02,WH-B,2026-07-16
SO-10336,C-1006,Nile Nursery,Standard,Wholesale,Cancelled,No,AUH-02,WH-B,2026-08-23
SO-10337,C-1002,Oasis Wholesale,Standard,Retail Store,Open,No,DXB-01,WH-B,2026-07-06
SO-10338,C-1001,Greenfield Retail,Rush,Retail Store,Open,No,DXB-01,WH-A,2026-06-26
SO-10339,C-1007,Cedar Home,Standard,Online,Open,No,DXB-01,WH-B,2026-06-25
SO-10340,C-1002,Oasis Wholesale,Rush,Online,Open,No,AUH-02,WH-A,2026-08-25
SO-10341,C-1004,Desert Gardens,Standard,Retail Store,Open,No,AUH-02,WH-B,2026-05-19
SO-10342,C-1007,Cedar Home,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-05-04
SO-10343,C-1003,Bloom Online,Rush,Retail Store,Open,No,DXB-01,WH-A,2026-08-15
SO-10344,C-1001,Greenfield Retail,Standard,Wholesale,Open,No,AUH-02,WH-A,2026-07-23
SO-10345,C-1004,Desert Gardens,Rush,Retail Store,Open,No,AUH-02,WH-A,2026-06-13
SO-10346,C-1006,Nile Nursery,Standard,Online,Cancelled,No,AUH-02,WH-A,2026-07-12
SO-10347,C-1003,Bloom Online,Rush,Wholesale,Open,No,AUH-02,WH-B,2026-08-14
SO-10348,C-1002,Oasis Wholesale,Standard,Online,Open,No,DXB-01,WH-A,2026-07-20
SO-10349,C-1005,Palm Grove,Standard,Wholesale,Open,No,AUH-02,WH-A,2026-05-26
SO-10350,C-1001,Greenfield Retail,Standard,Wholesale,Open,No,DXB-01,WH-A,2026-06-14
SO-10351,C-1006,Nile Nursery,Rush,Retail Store,Open,No,DXB-01,WH-B,2026-07-31
SO-10352,C-1007,Cedar Home,Rush,Online,Cancelled,No,AUH-02,WH-A,2026-08-23
SO-10353,C-1003,Bloom Online,Standard,Online,Open,No,AUH-02,WH-B,2026-06-01
SO-10354,C-1008,Sand & Stone,Standard,Online,Open,No,DXB-01,WH-A,2026-08-11
SO-10355,C-1003,Bloom Online,Rush,Online,Open,No,DXB-01,WH-A,2026-05-18
SO-10356,C-1001,Greenfield Retail,Standard,Retail Store,Open,No,DXB-01,WH-A,2026-05-19
SO-10357,C-1003,Bloom Online,Standard,Online,Open,No,DXB-01,WH-B,2026-05-17
SO-10358,C-1007,Cedar Home,Rush,Wholesale,Open,No,DXB-01,WH-A,2026-05-20
SO-10359,C-1002,Oasis Wholesale,Standard,Retail Store,Open,No,AUH-02,WH-B,2026-07-14
SO-10360,C-1003,Bloom Online,Standard,Online,Open,Yes,DXB-01,WH-A,2026-07-15
SO-10361,C-1007,Cedar Home,Standard,Retail Store,Open,No,AUH-02,WH-B,2026-08-18
SO-10362,C-1005,Palm Grove,Standard,Wholesale,Open,No,AUH-02,WH-B,2026-08-23
SO-10363,C-1007,Cedar Home,Rush,Online,Open,No,DXB-01,WH-A,2026-08-09
SO-10364,C-1004,Desert Gardens,Rush,Online,Open,No,AUH-02,WH-A,2026-06-03
SO-10365,C-1002,Oasis Wholesale,Standard,Wholesale,Open,No,DXB-01,WH-B,2026-06-18
SO-10366,C-1001,Greenfield Retail,Standard,Retail Store,Open,No,AUH-02,WH-A,2026-06-19
SO-10367,C-1002,Oasis Wholesale,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-05-27
SO-10368,C-1005,Palm Grove,Standard,Retail Store,Open,No,DXB-01,WH-A,2026-04-30
SO-10369,C-1007,Cedar Home,Standard,Online,Open,No,AUH-02,WH-B,2026-05-10
SO-10370,C-1004,Desert Gardens,Standard,Wholesale,Open,No,DXB-01,WH-B,2026-08-11
SO-10371,C-1005,Palm Grove,Rush,Online,Open,No,DXB-01,WH-B,2026-05-08
SO-10372,C-1001,Greenfield Retail,Standard,Online,Cancelled,No,DXB-01,WH-B,2026-07-25
SO-10373,C-1004,Desert Gardens,Rush,Online,Open,No,DXB-01,WH-B,2026-08-13
SO-10374,C-1004,Desert Gardens,Standard,Wholesale,Open,No,AUH-02,WH-A,2026-06-08
SO-10375,C-1004,Desert Gardens,Standard,Retail Store,Open,No,AUH-02,WH-A,2026-05-25
SO-10376,C-1001,Greenfield Retail,Rush,Online,Open,No,AUH-02,WH-B,2026-04-29
SO-10377,C-1003,Bloom Online,Standard,Retail Store,Open,No,AUH-02,WH-B,2026-05-27
SO-10378,C-1006,Nile Nursery,Rush,Wholesale,Open,No,DXB-01,WH-A,2026-07-04
SO-10379,C-1004,Desert Gardens,Rush,Online,Open,No,AUH-02,WH-B,2026-07-08
SO-10380,C-1005,Palm Grove,Standard,Online,Open,No,DXB-01,WH-A,2026-08-16
SO-10381,C-1007,Cedar Home,Standard,Retail Store,Open,No,DXB-01,WH-A,2026-07-09
SO-10382,C-1006,Nile Nursery,Standard,Online,Open,No,AUH-02,WH-B,2026-05-16
SO-10383,C-1008,Sand & Stone,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-05-26
SO-10384,C-1002,Oasis Wholesale,Rush,Online,Open,No,DXB-01,WH-A,2026-05-01
SO-10385,C-1007,Cedar Home,Standard,Wholesale,Open,No,AUH-02,WH-B,2026-06-25
SO-10386,C-1007,Cedar Home,Rush,Retail Store,Open,No,DXB-01,WH-A,2026-07-18
SO-10387,C-1005,Palm Grove,Standard,Online,Open,No,AUH-02,WH-B,2026-07-20
SO-10388,C-1002,Oasis Wholesale,Standard,Retail Store,Open,Yes,DXB-01,WH-B,2026-05-29
SO-10389,C-1002,Oasis Wholesale,Rush,Online,Open,No,DXB-01,WH-A,2026-08-04
SO-10390,C-1003,Bloom Online,Rush,Wholesale,Cancelled,No,DXB-01,WH-A,2026-07-18
SO-10391,C-1003,Bloom Online,Rush,Wholesale,Open,No,AUH-02,WH-B,2026-06-24
SO-10392,C-1006,Nile Nursery,Standard,Online,Open,No,AUH-02,WH-A,2026-06-24
SO-10393,C-1008,Sand & Stone,Standard,Online,Open,No,DXB-01,WH-B,2026-08-25
SO-10394,C-1007,Cedar Home,Rush,Online,Open,No,DXB-01,WH-A,2026-06-20
SO-10395,C-1005,Palm Grove,Standard,Online,Open,No,AUH-02,WH-B,2026-07-18
SO-10396,C-1008,Sand & Stone,Standard,Online,Open,No,AUH-02,WH-A,2026-05-13
SO-10397,C-1005,Palm Grove,Standard,Retail Store,Open,No,AUH-02,WH-A,2026-05-12
SO-10398,C-1005,Palm Grove,Standard,Online,Open,No,AUH-02,WH-B,2026-06-11
SO-10399,C-1002,Oasis Wholesale,Rush,Wholesale,Open,No,AUH-02,WH-A,2026-08-06
SO-10400,C-1004,Desert Gardens,Standard,Wholesale,Open,No,DXB-01,WH-A,2026-08-05
SO-10401,C-1002,Oasis Wholesale,Standard,Online,Open,No,AUH-02,WH-B,2026-05-19
SO-10402,C-1005,Palm Grove,Standard,Wholesale,Open,No,DXB-01,WH-B,2026-04-30
SO-10403,C-1006,Nile Nursery,Rush,Retail Store,Open,No,DXB-01,WH-A,2026-07-14
SO-10404,C-1003,Bloom Online,Rush,Online,Open,No,DXB-01,WH-B,2026-07-06
SO-10405,C-1005,Palm Grove,Rush,Retail Store,Open,No,AUH-02,WH-B,2026-07-30
SO-10406,C-1008,Sand & Stone,Rush,Online,Open,No,DXB-01,WH-A,2026-06-12
SO-10407,C-1007,Cedar Home,Rush,Wholesale,Open,No,DXB-01,WH-A,2026-04-29
SO-10408,C-1003,Bloom Online,Rush,Wholesale,Open,No,AUH-02,WH-B,2026-07-05
SO-10409,C-1001,Greenfield Retail,Rush,Retail Store,Open,No,DXB-01,WH-A,2026-07-22
SO-10410,C-1008,Sand & Stone,Standard,Wholesale,Open,No,AUH-02,WH-A,2026-07-11
SO-10411,C-1008,Sand & Stone,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-06-30
SO-10412,C-1005,Palm Grove,Standard,Retail Store,Open,Yes,DXB-01,WH-A,2026-05-04
SO-10413,C-1007,Cedar Home,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-07-18
SO-10414,C-1006,Nile Nursery,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-07-08
SO-10415,C-1004,Desert Gardens,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-06-09
SO-10416,C-1005,Palm Grove,Rush,Wholesale,Open,No,DXB-01,WH-A,2026-07-30
SO-10417,C-1001,Greenfield Retail,Rush,Wholesale,Open,Yes,AUH-02,WH-A,2026-05-26
SO-10418,C-1004,Desert Gardens,Rush,Retail Store,Open,Yes,AUH-02,WH-B,2026-08-20
SO-10419,C-1002,Oasis Wholesale,Rush,Wholesale,Open,No,AUH-02,WH-A,2026-05-21
SO-POISON,C-9999,Should Be Excluded,Standard,Wholesale,Cancelled,No,DXB-01,WH-A,2026-08-21
